MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
11117,2,25.92,26.2,2.241,53.239,520,,0.2592,,87.15,4,2.716003344
11118.5,2,27.04,22.3,2.244,49.635,280,,0.2704,,87.144,4,2.447158031
11119.5,2,25.98,25.1,2.273,48.1,830,,0.2598,,85.573,4,2.919078092
11120.5,3,25.36,24.7,2.302,48.148,670,,0.2536,,84.458,4,2.826074803
11121.5,1,25.4,24.7,2.353,51.9,610,,0.254,,82.013,4,2.785329835
11122.5,1,26.1,23.6,2.365,52.825,300,,0.261,,80.83,4,2.477121255
11123.5,2,27.42,24.7,2.299,52.92,610,,0.2742,,84.786,4,2.785329835
11124.5,2,28.08,23.1,2.255,53.875,350,,0.2808,,91.837,4,2.544068044
11126,3,25.76,24.2,2.283,53.256,590,,0.2576,,87.904,4,2.770852012
11127,2,26.54,23.8,2.304,54.011,460,,0.2654,,87.286,4,2.662757832
11129,2,27.9,23,2.221,55.187,120,,0.279,,86.292,4,2.079181246
11130.5,3,26.4,17.1,2.099,58.522,7.1,,0.264,,87.884,4,0.851258349
11132,1,26.4,21,2.065,63.141,64,,0.264,,86.365,4,1.806179974
11133,3,25.56,18.1,2.071,64.637,24,,0.2556,,87.875,4,1.380211242
11135,2,27.78,21.5,2.214,60.614,91,,0.2778,,86.208,4,1.959041392
11136,2,26.299,21,2.298,59.251,87,,0.26299,,84.51,4,1.939519253
11137.5,1,23.76,20,2.376,53.238,48,,0.2376,,83.54,4,1.681241237
11138.5,1,24.33,18.7,2.409,54.111,20,,0.2433,,82.818,4,1.301029996
11139.5,1,23.338,20.6,2.385,54.818,1400,,0.23338,,82.26,4,3.146128036
11141,1,23.436,19.2,2.349,55.498,35,,0.23436,,83.217,4,1.544068044
11142,2,22.297,19.7,2.303,56.689,46,,0.22297,,86.052,4,1.662757832
11146,2,21.555,18,2.248,57.534,26,,0.21555,,90.186,4,1.414973348
