MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10788,3,26.56,24.6,2.15,56.762,10,1.207,0.2656,1.51559,90.346,5,1
10789,3,26.98,27.6,2.095,57.239,21,1.248,0.2698,1.58558,90.815,5,1.322219295
10790.5,3,25.22,28.3,2.177,62.275,5.8,1.346,0.2522,1.6696,88.5,5,0.763427994
10791.5,2,24.4,12.5,2.308,63.062,0.11,1.379,0.244,1.73318,88.779,5,-0.958607315
10793,1,23.9,19.3,2.382,58.337,4.3,1.423,0.239,1.80206,88.003,5,0.633468456
10794,1,22.84,17.4,2.414,56.762,0.7,1.449,0.2284,1.78234,86.533,5,-0.15490196
10795,1,24.382,15.9,2.384,61.488,0.82,1.287,0.24382,1.57537,90.456,5,-0.086186148
10796,1,24.715,25.3,2.415,64.637,9,1.341,0.24715,1.62069,87.158,5,0.954242509
10797,1,23.245,24.1,2.417,63.062,5.2,1.278,0.23245,1.4856,86.533,5,0.716003344
10798,1,21.772,22,2.429,61.488,3.2,1.306,0.21772,1.51685,87.636,5,0.505149978
10799,2,22.869,17.1,2.366,59.912,0.74,1.387,0.22869,1.60792,88.8,5,-0.13076828
10800.5,2,22.499,26.1,2.369,62.275,21,1.391,0.22499,1.51807,88.674,5,1.322219295
10801.5,2,22.7,16.5,2.352,62.275,1.3,1.334,0.227,1.54333,88.399,5,0.113943352
10802.5,2,23.219,28.4,2.349,65.425,22,1.449,0.23219,1.57725,88.8,5,1.342422681
10803.5,1,22.06,18.1,2.384,65.425,3.3,1.654,0.2206,1.79539,87.549,5,0.51851394
10804.5,2,20.56,17.8,2.391,67.788,1.8,1.663,0.2056,1.80222,84.862,5,0.255272505
10806,2,22.638,18.6,2.362,71.725,6,1.626,0.22638,1.86633,85.65,4,0.77815125
10807,2,22.307,18.7,2.357,71.725,7,1.619,0.22307,1.75075,85.729,4,0.84509804
10808.5,2,20.723,20.1,2.326,72.512,25,1.629,0.20723,1.75709,87.166,4,1.397940009
10810,2,22.172,20.8,2.312,72.512,29,1.611,0.22172,1.8416,88.012,4,1.462397998
10811,2,21.639,23.3,2.299,73.3,77,1.605,0.21639,1.83481,87.468,4,1.886490725
10812.5,2,19.111,12.3,2.343,73.3,3.6,1.754,0.19111,1.88888,85.205,4,0.556302501
10813.5,2,19.226,18.9,2.349,74.087,21,1.804,0.19226,1.94209,84.075,4,1.322219295
10814.5,2,19.746,17.3,2.346,71.725,4.8,1.733,0.19746,1.97962,84.406,4,0.681241237
10815.5,2,19.609,19.8,2.334,70.937,24,1.729,0.19609,1.86224,85.43,5,1.380211242
10816.5,2,20.162,18.2,2.309,70.15,6.3,1.775,0.20162,1.91123,85.068,5,0.799340549
10817,2,20.588,18,2.313,70.15,6.6,1.786,0.20588,2.03947,84.823,5,0.819543936
10818,2,21.983,23.5,2.308,70.15,42,1.642,0.21983,1.96472,86.706,5,1.62324929
10819.5,2,22.681,21,2.259,64.637,66,1.552,0.22681,1.85405,90.023,5,1.819543936
10820.5,2,23.537,21.7,2.286,62.275,74,1.633,0.23537,1.86651,89.985,5,1.86923172
10822.5,2,20.38,28.3,2.318,67.066,130,1.75,0.2038,1.99881,84.81,5,2.113943352
10823.5,2,20.723,22.3,2.317,68.575,130,1.679,0.20723,1.91856,86.141,5,2.113943352
10824.5,2,21.722,22.3,2.297,67.787,100,1.727,0.21722,1.97283,88.8,5,2
10826,2,21.713,20.3,2.32,71.21,95,1.927,0.21713,2.19656,88.479,5,1.977723605
10827,2,21.716,21.5,2.307,72.512,110,1.899,0.21716,2.18979,87.336,5,2.041392685
10828,2,21.361,23.3,2.302,70.937,220,1.876,0.21361,2.13735,88.012,5,2.342422681
10829,2,21.603,22.1,2.294,68.575,190,1.825,0.21603,2.07994,88.012,5,2.278753601
10830.5,2,21.652,24,2.278,63.85,370,1.741,0.21652,1.98355,88.8,5,2.568201724
10831.5,2,21.114,27.3,2.272,63.062,670,1.773,0.21114,2.01961,88.239,5,2.826074803
10832,2,20.84,21.6,2.272,63.062,160,1.745,0.2084,1.98805,87.875,5,2.204119983
10833.5,2,19.887,22.1,2.299,62.583,240,1.598,0.19887,1.82704,87.811,5,2.380211242
10834,2,20.54,22.3,2.286,63.062,290,1.567,0.2054,1.79172,88.012,5,2.462397998
10835,2,21.202,21.6,2.254,63.85,210,1.518,0.21202,1.73614,88.012,5,2.322219295
10837,2,20.043,22.2,2.276,68.575,320,0.945,0.20043,1.08539,86.368,5,2.505149978
10838,2,20.781,21,2.278,69.363,170,0.808,0.20781,0.86292,85.65,5,2.230448921
10839,2,20.887,23.6,2.266,65.425,670,0.744,0.20887,0.78504,85.807,5,2.826074803
10870.5,1,20.044,13.4,2.484,77.404,0.55,1.397,0.20044,1.49761,82.302,5,-0.259637311
10872,1,21.552,16.2,2.445,76.274,0.79,1.461,0.21552,1.57569,81.712,5,-0.102372909
10873,1,21.885,16.9,2.409,73.597,1.1,1.413,0.21885,1.50662,85.543,5,0.041392685
10874,2,20.916,19,2.381,69.082,2.9,1.384,0.20916,1.4442,86.313,5,0.462397998
10875.5,2,20.227,19.3,2.386,68.575,3.2,1.389,0.20227,1.50836,86.725,5,0.505149978
10876.5,2,20.348,19,2.374,69.323,3.9,1.367,0.20348,1.59068,86.949,5,0.591064607
10878,2,19.149,20.9,2.34,70.937,21,1.354,0.19149,1.56507,87.597,5,1.322219295
10879,2,18.195,20.8,2.345,70.134,21,1.365,0.18195,1.5777,88.85,5,1.322219295
10879.5,2,17.967,19.9,2.341,69.348,7.6,1.449,0.17967,1.67278,88.563,4,0.880813592
10881,2,17.42,17.6,2.348,75.013,2.4,1.69,0.1742,1.94961,84.693,4,0.380211242
10882,2,17.75,18.2,2.333,73.3,1.6,1.735,0.1775,2.00241,84.659,4,0.204119983
10883,2,19.855,22.8,2.273,67,340,2.002,0.19855,2.30595,89.384,4,2.531478917
10884.5,3,20.752,24,2.173,59.519,1000,4.4,0.20752,5.60003,94.228,4,3
10885.5,3,20.321,25.3,2.184,59.125,1700,5.595,0.20321,7.32131,91.834,4,3.230448921
10886.5,2,19.948,25.9,2.202,61.488,1900,6.001,0.19948,7.90638,91.162,4,3.278753601
10887.5,2,19.156,25.2,2.18,61.045,1900,6.28,0.19156,8.28335,91.162,4,3.278753601
10888.5,2,18.85,25.1,2.177,59.125,1600,6.648,0.1885,8.84103,91.162,4,3.204119983
10892,2,19.096,25.5,2.185,57.156,1500,7.145,0.19096,9.67282,90.788,4,3.176091259
10893,2,17.826,25.9,2.153,55.975,1900,7.518,0.17826,10.19057,90.379,4,3.278753601
10894,2,18.729,25.8,2.171,55.975,1900,7.643,0.18729,10.30523,91.046,4,3.278753601
10895,2,18.283,26.2,2.139,54.4,2100,8.074,0.18283,10.94539,91.864,4,3.322219295
10896,2,18.722,26.2,2.142,53.613,2000,7.992,0.18722,10.98537,91.95,4,3.301029996
10897,3,19.041,25.8,2.146,54.4,1700,7.862,0.19041,10.78632,91.95,4,3.230448921
10898,3,19.227,26.6,2.146,57.395,2300,8.486,0.19227,11.29675,91.95,4,3.361727836
10899,3,19.852,26.2,2.145,59.912,2300,8.991,0.19852,11.7191,91.95,4,3.361727836
10900,3,20.434,26.3,2.153,60.438,1700,8.947,0.20434,11.57591,91.95,4,3.230448921
10901,3,21.058,25.6,2.168,62.275,1700,8.619,0.21058,11.04837,91.95,4,3.230448921
10902,3,20.758,26,2.159,60.7,2200,8.34,0.20758,10.58699,91.451,4,3.342422681
10903.5,3,19.53,26.3,2.155,61.488,2000,8.18,0.1953,10.43752,91.162,4,3.301029996
10904.5,2,18.254,26.4,2.158,62.275,1700,7.89,0.18254,10.12837,91.162,4,3.230448921
10905.5,2,19.209,26.4,2.154,63.85,1400,7.675,0.19209,9.94737,91.355,4,3.146128036
10907,2,18.823,25.9,2.152,63.062,1300,7.268,0.18823,9.51023,91.95,4,3.113943352
10907.5,2,17.98,25.6,2.165,61.769,1200,7.135,0.1798,9.33182,91.95,4,3.079181246
10909,2,19.136,26.5,2.162,60.7,1600,6.575,0.19136,8.69351,90.835,4,3.204119983
10910,2,18.52,25.8,2.162,63.85,1100,6.116,0.1852,8.20054,91.359,4,3.041392685
10910.5,2,18.3,24.6,2.181,66.512,830,5.997,0.183,8.07531,91.621,4,2.919078092
10911.5,2,17.72,26.6,2.193,70.15,1800,5.991,0.1772,8.23505,91.95,4,3.255272505
10913,2,18.08,25.3,2.194,68.575,790,4.329,0.1808,6.17788,90.371,4,2.897627091
10913.5,2,17.52,22.5,2.197,70.867,350,4.027,0.1752,5.77733,89.744,4,2.544068044
10915,2,19.24,23.1,2.205,74.875,330,3.673,0.1924,5.25027,88.8,4,2.51851394
10916,2,19.46,24.2,2.218,74.875,330,3.665,0.1946,5.14868,88.8,4,2.51851394
10916.5,2,19.8,22.4,2.217,74.087,260,3.61,0.198,5.08926,88.832,4,2.414973348
10918,2,19.04,26.1,2.207,67.787,890,3.337,0.1904,4.8293,89.577,4,2.949390007
10919,2,19.7,25.1,2.209,70.525,760,3.914,0.197,5.81075,88.782,4,2.880813592
10920,2,18.56,23.4,2.201,68.575,350,5.417,0.1856,8.26198,89.864,4,2.544068044
10921,2,19.44,25.7,2.203,67.074,1300,6.26,0.1944,9.5704,91.49,4,3.113943352
10922.5,3,20.12,25.7,2.17,63.479,1100,7.566,0.2012,12.31561,92.683,4,3.041392685
10923.5,3,20.48,25.4,2.162,63.062,1200,8.163,0.2048,12.57986,91.162,4,3.079181246
10924.5,3,21.64,26.6,2.174,59.511,1700,8.315,0.2164,12.62895,91.229,4,3.230448921
10925.5,3,21.26,26.3,2.193,59.125,1600,7.79,0.2126,11.68214,92.08,5,3.204119983
10926.5,3,22.3,26.1,2.174,59.912,2300,6.444,0.223,9.61335,93.199,5,3.361727836
10927.5,3,22.26,25.7,2.166,60.019,2000,5.407,0.2226,7.94448,92.981,5,3.301029996
10929,3,22.34,24.1,2.159,64.637,530,4.705,0.2234,6.8543,93.452,5,2.72427587
10930,3,22.96,25,2.174,64.145,740,4.85,0.2296,6.97621,91.5,5,2.86923172
10931,3,22.24,26.7,2.198,62.831,950,5.706,0.2224,8.27943,88.934,5,2.977723605
10932,2,20.2,23.4,2.201,59.439,430,7.344,0.202,10.64806,91.162,5,2.633468456
10933,3,20.6,24.5,2.199,56.762,1500,9.884,0.206,14.14566,91.719,5,3.176091259
10933.5,3,21.36,25.6,2.194,55.373,1400,10.726,0.2136,15.2374,93.126,5,3.146128036
10935,3,23.52,24,2.19,58.777,1000,10.836,0.2352,15.14694,92.737,5,3
10936,3,23.84,24.7,2.194,61.488,1100,10.366,0.2384,14.51498,93.172,5,3.041392685
10937,3,23.26,25.1,2.186,60.7,1000,10.493,0.2326,14.55342,95.036,5,3
10938,3,23.62,24.9,2.203,56.762,1700,11.711,0.2362,16.20594,94.19,4,3.230448921
10939,3,23.6,25,2.202,52.825,1500,13.474,0.236,18.7353,93.525,4,3.176091259
10940.5,3,24.58,24.3,2.167,52.825,1200,14.643,0.2458,20.49329,93.569,4,3.079181246
10941.5,3,25.76,24.6,2.114,53.613,1300,14.578,0.2576,20.43647,94.079,4,3.113943352
10942,3,25.32,25,2.116,52.037,1200,14.13,0.2532,19.85042,94.285,4,3.079181246
10943.5,3,24.487,25.9,2.063,55.975,1500,12.565,0.24487,17.85552,95.2,4,3.176091259
10944,3,25.201,25.4,2.056,56.762,1400,11.921,0.25201,17.09821,95.634,4,3.146128036
10945,3,26.386,24.3,2.132,56.762,1400,10.627,0.26386,15.37914,95.887,4,3.146128036
10953,3,28.476,26.4,2.212,55.187,2400,10.966,0.28476,16.67932,97.397,5,3.380211242
10954,2,28.145,26.3,2.264,55.975,2000,10.931,0.28145,16.62621,96.618,5,3.301029996
10955.5,2,27.706,25.8,2.298,52.037,1700,10.78,0.27706,17.33237,95.1,5,3.230448921
10956.5,2,26.16,25.2,2.282,49.675,1300,10.063,0.2616,15.83357,95.1,5,3.113943352
10957.5,3,25.484,26.4,2.296,48.887,1600,9.705,0.25484,15.41735,95.1,5,3.204119983
10959,3,25.722,26.1,2.286,50.462,1600,9.547,0.25722,15.14913,94.979,5,3.204119983
10960,2,26.445,26,2.286,50.095,1600,9.095,0.26445,14.18337,94.139,5,3.204119983
10961.5,2,25.886,26.8,2.286,50.462,1800,8.733,0.25886,14.85425,91.299,5,3.255272505
